dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype
Azimuth,Adipose,"MYH11, TAGLN, ADGRL3, SORBS2, RCAN2, MYOCD, LMOD1, CARMN, CALD1, RGS6",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell
Azimuth,Adipose,"IL7R, THEMIS, CAMK4, BCL11B, ITK, ANK3, CD96, TC2N, SKAP1, CD2",T,T cell,CL:0000084,t/nk cell
Azimuth,Adipose,"COL25A1, POSTN, DLC1, STEAP4, MYO1B, RGS5, EBF2, THSD7B, KCNAB1, RGS6",Pericyte,pericyte,CL:0000669,pericyte
Azimuth,Adipose,"CSF3R, EPHB1, SORL1, GLT1D1, KCNJ15, SLC25A37, LUCAT1, CPPED1, LRRK2, MXD1",Neutrophil,neutrophil,CL:0000775,granulocyte
Azimuth,Adipose,"VCAN, FCN1, SLC11A1, CSF3R, IL1B, KYNU, SAMSN1, CTSS, RNF144B, COTL1",Monocyte,monocyte,CL:0000576,macrophage/monocyte
Azimuth,Adipose,"AP000561.1, AC005699.1, LINC02360, MSLN, KCTD8, PKHD1L1, COL8A1, LSAMP, PTPRQ, FAM155A",Mesothelial,mesothelial cell,CL:0000077,epithelial cell
Azimuth,Adipose,"CPA3, KIT, TPSB2, NTM, TPSAB1, HGPD, MS4A2, SLC24A3, HDC, IL18R1",Mast,mast cell,CL:0000097,granulocyte
Azimuth,Adipose,"F13A1, MRC1, LGMN, FTL, CYBB, RBPJ, FRMD4B, SCN9A, CD163L1, IQGAP2",Macrophage,macrophage,CL:0000235,macrophage/monocyte
Azimuth,Adipose,"GNLY, CD247, SAMD3, NKG7, KLRD1, TXK, PYHIN1, CCL5, CCL4, KLRF1",NK,natural killer cell,CL:0000623,t/nk cell
Azimuth,Adipose,"MECOM, PTRB, VWF, ANO2, BTNL9, LDB2, ADGRL4, PTPRM, JAM2, CADM2",Endothelial,endothelial cell,CL:0000115,endothelial cell
Azimuth,Adipose,"KCNIP4, DPP6, PRLR, MEIS1, SYT1, AC012404.1, CNTN4, RORA, PAPPA, TSHZ2",Endometrial,,,uterus cell
Azimuth,Adipose,"HLA-DRB1, FLT3, HLA-DPB1, HLA-DRA, HLA_DQA1, IL1R2, HLA-DPA1, HLA-DQB1, CD74, RTN1",Dendritic,dendritic cell,CL:0000451,dendritic cell
Azimuth,Adipose,"IGKC, MS4A1, BANK1, IGHG1, IGLC3, IGHGP, FCRL1, BCL11A, IGHA1, JCHAIN",B,B cell,CL:0000236,b cell
Azimuth,Adipose,"GPAM, ADIPOQ, ACACB, PCDH9, GHR, TRHDE, SORBS1, PLIN1, PDE3B, WDPCP",Adipocyte,fat cell,CL:0000136,fat cell
Azimuth,Adipose,"MMRN1, CCL21, AL357507.1, PROX1, PPFIBP1, NRG3, RELN, STOX2, TFPI, LINC02147",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
Azimuth,Bone Marrow,"RGS18,C2orf88,TMEM40,GP9,PF4,PPBP,DAB2,SPARC,RUFY1,F13A1",Platelet,platelet,CL:0000233,platelet
Azimuth,Bone Marrow,"NPY,LCN6,RAG2,HMHB1,ARPP21,AKAP12,RAG1,C10orf10,CYGB,SLC8A1-AS1",Precursor B,precursor B cell,CL:0000817,b cell
Azimuth,Bone Marrow,"ENHO,CLEC10A,RNASE2,PLBD1,FCER1A,IGSF6,MNDA,SAMHD1,ALDH2,PAK1",Precursor Myeloid Dendritic Dell,,,progenitor cell
Azimuth,Bone Marrow,"SCT,SHD,LILRA4,LILRB4,PTPRS,TNNI2,PLD4,SPIB,IRF8,TNFRSF21",Precursor Plasmacytoid Dendritic Cell,,,progenitor cell
Azimuth,Bone Marrow,"CYGB,UMODL1,EBF1,MME,VPREB1,DNTT,IGLL1,UHRF1,BLNK,AGPS",Progenitor B,pro-B cell,CL:0000826,progenitor cell
Azimuth,Bone Marrow,"RRM2,MKI67,BIRC5,LCK,SH2D1A,CLSPN,CDT1,TK1,TOP2A,TRAC",Proliferating T,,,t/nk cell
Azimuth,Bone Marrow,"IGFBP5,CP,TF,DCN,LUM,COL1A2,CRH,TNC,SPARCL1,BMP5",Stromal,stromal cell,CL:0000499,stromal cell
Azimuth,Bone Marrow,"BMP3,CFAP73,ARPP21,IGLC5,APBB2,HRK,DTX1,AKAP12,IGLC6,MME",Transitional B,transitional stage B cell,CL:0000818,b cell
Azimuth,Bone Marrow,"SERPINB10,RNASE3,MS4A3,PRTN3,ELANE,AZU1,CTSG,RNASE2,RETN,NPW",Granulocyte Monocyte Progenitor,granulocyte monocyte progenitor cell,CL:0000557,progenitor cell
Azimuth,Bone Marrow,"SDC1,IGLC6,IGLV6-57,TNFRSF17,IGLV3-1,TNFRSF13B,IGLC7,JSRP1,FCRL5,IGKV1-5",Plasma,plasma cell,CL:0000786,b cell
Azimuth,Bone Marrow,"CLEC1B,SPX,WFDC1,ANXA3,CMTM5,SELP,RBPMS2,ARHGAP6,GP9,LTBP1",Progenitor Megakaryocyte,megakaryocyte progenitor cell,CL:0000553,progenitor cell
Azimuth,Bone Marrow,"ASIP,CLEC4C,SCAMP5,PROC,PTCRA,SCT,SHD,PPM1J,LILRA4,LRRC26",Plasmacytoid Dendritic Cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell
Azimuth,Bone Marrow,"CRHBP,AVP,MYCT1,BEX1,NPR3,CRYGD,MSRB3,CD34,NPDC1,MLLT3",Hematopoeitic Stem Cell,hematopoietic stem cell,CL:0000037,stem cell
Azimuth,Bone Marrow,"SPTSSB,NCAM1,KLRC1,XCL1,IL18RAP,XCL2,IL2RB,KLRF1,TNFRSF18,KLRD1",Natural Killer CD56+,,,t/nk cell
Azimuth,Bone Marrow,"MYCT1,CRHBP,NPR3,AVP,GATA2,HPGDS,CYTL1,CRYGD,IGSF10,PBX1",Erythroid Megakaryocyte Progenitor,megakaryocyte-erythroid progenitor cell,CL:0000050,progenitor cell
Azimuth,Bone Marrow,"GZMA,GZMB,TRDC,PRF1,TYMS,FGFBP2,KLRF1,CD247,GZMH,CCL4",Proliferating Natural Killer,,,t/nk cell
Azimuth,Bone Marrow,"CNRIP1,GATA2,ITGA2B,TFR2,GATA1,KLF1,CYTL1,MAP7,FSCN1,APOC1",Early Erythroid,,,erythroid cell
Azimuth,Bone Marrow,"ACY3,PRSS2,C1QTNF4,SPINK2,SMIM24,NREP,CD34,DNTT,FLT3,SPNS3",Common Lymphoid Progenitor,common lymphoid progenitor,CL:0000051,progenitor cell
Azimuth,Bone Marrow,"ENHO,CLEC10A,CD1C,IL13RA1,PLBD1,LGALS2,CD33,IGSF6,IFI30,FCER1A",Conventional Dendritic Cell 2,conventional dendritic cell,CL:0000990,dendritic cell
Azimuth,Bone Marrow,"IDO1,XCR1,TACSTD2,CLEC9A,WFDC21P,CLNK,CADM1,DNASE1L3,BATF3,LGALS2",Conventional Dendritic Cell 1,conventional dendritic cell,CL:0000990,dendritic cell
Azimuth,Bone Marrow,"NELL2,CD8B,S100B,TRABD2A,CCR7,OXNAD1,FLT3LG,MAL,LEF1,CAMK4",CD8 Naive,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell
Azimuth,Bone Marrow,"CD8B,CD8A,GZMK,IL7R,BCL11B,CD3E,PIK3IP1,CD6,TRAC,SPOCK2",CD8 Memory,"CD8-positive, alpha-beta memory T cell",CL:0000909,t/nk cell
Azimuth,Bone Marrow,"GZMK,CD160,CD8A,KLRB1,LAG3,CCL4,XCL2,GZMM,XCL1,CCL3",CD8 Effector 3,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
Azimuth,Bone Marrow,"ZNF683,PRSS23,KLRC2,FCRL6,S1PR5,GZMH,FGFBP2,PATL2,TRGC2,CD3G",CD8 Effector 2,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
Azimuth,Bone Marrow,"CRTAM,IFNG,CD8A,XCL1,GZMK,TIGIT,CCL4L2,CD8B,CD160,XCL2",CD8 Effector 1,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
Azimuth,Bone Marrow,"MAL,TRAT1,AP3M2,CAMK4,AQP3,IL7R,RCAN3,BCL11B,LEF1,FLT3LG",CD4 Memory,"CD4-positive, alpha-beta memory T cell",CL:0000897,t/nk cell
Azimuth,Bone Marrow,"TNFRSF4,AQP3,TNFRSF25,MAL,IL7R,TRAT1,RORA,FLT3LG,KLRB1,CD6",CD4 Effector,"effector CD4-positive, alpha-beta T cell",CL:0001044,t/nk cell
Azimuth,Bone Marrow,"LYPD2,VMO1,TPPP3,C1QA,C5AR1,CD300E,GPBAR1,LILRA1,HES4,APOBEC3A",CD16 Monocyte,,,macrophage/monocyte
Azimuth,Bone Marrow,"TSHZ2,MAL,CCR7,CAMK4,LEF1,BCL11B,FHIT,RCAN3,SH3YL1,PIK3IP1",CD4 Naive,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell
Azimuth,Bone Marrow,"KLRB1,IL7R,TNFRSF25,SPOCK2,RORA,NCR3,GZMK,KLRG1,TRGC2,CD6",Mucosal associated invariant T,mucosal invariant T cell,CL:0000940,t/nk cell
Azimuth,Bone Marrow,"FCRL2,FCRL1,ARHGAP24,FCRL5,FCER2,FCRLA,PAX5,CD19,HLA-DOB,CD22",Naive B,naive B cell,CL:0000788,b cell
Azimuth,Bone Marrow,"FCRL2,TNFRSF13B,ARHGAP24,PNOC,FCER2,FCRLA,BLK,HLA-DOB,MS4A1,TNFRSF13C",Memory B,memory B cell,CL:0000787,b cell
Azimuth,Bone Marrow,"FOLR3,CLEC4E,MCEMP1,RBP7,CDA,FPR1,CD300E,C5AR1,CD93,APOBEC3A",CD14 Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte
