dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype
HCA,Breast,"ACACB, FASN, LPIN1, MLXIPL, EBF1, CTIF, PTPRG, FOXO1, ACSL1, PLIN4",Adipocyte,fat cell,CL:0000136,fat cell
HCA,Breast,"LDB2, ST6GALNAC3, SEMA3A, PPFIBP1, TSHZ2, TFPI, PKHD1L1, PLPP1, RALGAPA2, KALRN",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
HCA,Breast,"DCLK1, DLC1, COL6A2, NOVA1, COL6A1, PTPRG, SLIT3, SVEP1, CBLB, RBMS3",Fibroblast,fibroblast,CL:0000057,fibroblast
HCA,Breast,"DST, TSHZ2, KRT17, MYH11, DMD, ACTA2, CALD1, ACTN1, TPM1, TPM2",Myoepithelial (basal),myoepithelial cell,CL:0000185,epithelial cell
HCA,Breast,"LDB2, ST6GALNAC3, TCF4, MECOM, PTPRM, PITPNC1, EGFL7, PECAM1, ABLIM1, VWF",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell
HCA,Breast,"TRPS1, NEBL, ERBB4, NAALADL2, AFF3, ELF3, KRT15, KRT19, THSD4, SHANK2",Epithelial cell (luminal),,,epithelial cell
HCA,Breast,"C10orf11, DOCK4, PLXDC2, RNF149, FMN1, STAB1, CTSB, ZEB2, FRMD4B, RAB31",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte"
HCA,Breast,"PRKG1, LPP, KCNAB1, RGS6, CALD1, RBPMS, SLIT3, ACTA2, PTPRG, DLC1",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell"
HCA,Esophagus,"PRKG1, LPP, EBF1, RBPMS, CALD1, DMD, CACNA1C, HIP1, RCAN2, SLIT3",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell"
HCA,Esophagus,"SORBS2, NAALADL2, GMDS, RUNX1, CHST9, CHPT1, NFIB, PPP1R9A, ERBB4, C4orf19",Mucous cell,,,mucosal cell
HCA,Esophagus,"LAMA2, RBMS3, EBF1, PID1, FBLN1, SDK1, RORA, DCN, FGF14, FBN1",Fibroblast,fibroblast,CL:0000057,fibroblast
