dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype
HCL,,"BEX3, STMN1, HNRNPA1, SOX4, LDHB, SKP1, SNRPE, HMGB1, RPL10A, ID3",Fetal epithelial progenitor,,,progenitor cell
HCL,,"CTSB, FTL, C1QB, LAPTM5, TYROBP, PSAP, C1QA, HLA-DRA, CTSD, NPC2",Macrophage,macrophage,CL:0000235,macrophage/monocyte
HCL,,"JCHAIN, IGHA1, SSR4, MZB1, IGKC, IGHA2, HERPUD1, DERL3, SEC11C, FKBP11",B cell (Plasmocyte),plasma cell,CL:0000786,b cell
HCL,,"C1S, TIMP2, COL6A3, SEMA3C, MMP2, GSN, IGFBP6, MFAP4, COL6A1, PLAC9",Fibroblast,fibroblast,CL:0000057,fibroblast
HCL,,"PEBP1, MRPL33, STAR, RARRES2, CLU, CYP21A2, CYP17A1, AKR1B1, NOV, TPD52L1",Fasciculata cell,type II cell of adrenal cortex,CL:0002136,epithelial cell
HCL,,"TRAC, CD3D, TRBC1, LTB, CD52, TRBC2, PABPC1, RP11-543P15.1, CALM1, IL2RG",T cell,T cell,CL:0000084,t/nk cell
HCL,,"MDK, LGALS1, STMN1, DCN, COL1A2, BEX3, COL1A1, COL3A1, NREP, TUBB",Fetal mesenchymal progenitor,mesenchymal cell,CL:0008019,mesenchymal cell
HCL,,"IFI27, TM4SF1, HLA-B, HLA-E, A2M, SOCS3, IGFBP7, SPARCL1, IFITM2, IFITM3",Endothelial cell (APC),endothelial cell,CL:0000115,endothelial cell
HCL,,"LGALS4, PIGR, FXYD3, PHGR1, C15orf48, KRT19, TSPAN8, KRT8, EPCAM, LGALS3",Enterocyte progenitor,,,progenitor cell
HCL,,"COL5A1, MEST, DLK1, OGN, LUM, POSTN, COL5A2, FSTL1, ISLR, GPC3",Fetal stromal cell,stromal cell,CL:0000499,stromal cell
HCL,,"MLLT11, GPM6A, TMSB15A, UCHL1, NREP, TUBB2B, POU3F3, HN1, NNAT, FABP7",Fetal neuron,neuron,CL:0000540,neuron
HCL,,"RPS23, RPS3, RPS27A, RPS6, RPS3A, UROD, AHSP, BLVRB, RPS14, RPS17",Erythroid progenitor cell (RP high),erythroid progenitor cell,CL:0000038,progenitor cell
HCL,,"FCER1G, AIF1, FCN1, CTSS, LST1, TYROBP, LYZ, CD52, LAPTM5, OAZ1",Monocyte,monocyte,CL:0000576,macrophage/monocyte
HCL,,"AGR2, MT1G, TSPAN8, MT1H, MT1E, FABP1, AGR3, LGALS2, GSTA1, SPINK1",Fetal enterocyte,enterocyte,CL:0000584,epithelial cell
HCL,,"RBP2, TTR, APOA1, GSTA1, FABP1, FABP2, SERPINA1, FTL, SMIM24, APOC3",Hepatocyte/Endodermal cell,"hepatocyte,endodermal cell","CL:0000182,CL:0000223","epithelial cell,embryonic cell"
HCL,,"FOS, RPL34, RPL31, RPS18, RPS14, RPL7, TMSB10, RPS27A, RPS3A, RPL35A",Fetal fibroblast,fibroblast,CL:0000057,fibroblast
HCL,,"TMSB4X, A2M, GNG11, TMSB10, B2M, IFITM3, RAMP2, COL4A1, PRCP, TM4SF1",Endothelial cell,endothelial cell,CL:0000115,endothelial cell
HCL,,"HLA-DRA, CD74, HLA-DPA1, HLA-DPB1, HLA-DRB1, CST3, HLA-DQA1, HLA-DQB1, TMSB4X, TMSB10",Dendritic cell,dendritic cell,CL:0000451,dendritic cell
HCL,,"DEFB1, CD24, WFDC2, SPP1, CYSTM1, IGFBP7, CLDN4, LDHB, GDF15, ATP1A1",Loop of Henle,kidney loop of Henle epithelial cell,CL:1000909,epithelial cell
HCL,,"AHSP, HBG2, HBM, HBA1, HBA2, GYPA, ALAS2, HBG1, GYPB, PRDX2",Erythroid cell,erythroid lineage cell,CL:0000764,erythroid cell
HCL,,"DCN, LUM, MGP, C1S, SERPING1, CFD, GPX3, ADH1B, C1R, EFEMP1",Stromal cell,stromal cell,CL:0000499,stromal cell
HCL,,"PLP1, TUBB4A, ERMN, QKI, CLDN11, CNP, MAG, EDIL3, PTGDS, TF",Oligodendrocyte,oligodendrocyte,CL:0000128,oligodendrocyte
HCL,,"SFTPB, SFTPC, SLC34A2, SFTPA2, SFTPA1, NPC2, NAPSA, MUC1, CTSH, SFTPD",AT2 cell,type II pneumocyte,CL:0002063,epithelial cell
HCL,,"TG, TFF3, PCP4, GPX3, CRYAB, CD24, CTSB, TPO, CLU, IYD",Thyroid follicular cell,thyroid follicular cell,CL:0002258,epithelial cell
HCL,,"MT2A, CRYAB, GEM, SOD2, EEF1A1, EIF1, MAT2A, CXCL8, EMP1, RPS27",Smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell
HCL,,"CD74, HLA-DRA, HLA-DRB1, CD52, MS4A1, HLA-DPB1, CD79A, HLA-DPA1, CXCR4, HLA-DQB1",B cell,B cell,CL:0000236,b cell
HCL,,"PLA2G2A, ADIRF, TM4SF1, HP, TMSB4X, TIMP1, SERPING1, EEF1A1, EFEMP1, S100A10",Epithelial cell,epithelial cell,CL:0000066,epithelial cell
HCL,,"PHGR1, ANPEP, FABP1, ALDOB, FABP2, ADIRF, RBP2, SI, EPCAM, PCK1",Enterocyte,enterocyte,CL:0000584,epithelial cell
HCL,,"RPS14, RPS29, RPS18, RPS6, RPS27, RPLP1, RPL31, RPL34, RPS19, RPL27A",Neutrophil (RPS high),neutrophil,CL:0000775,granulocyte
HCL,,"RPS27, RPS29, CSTA, RPL21, RPL30, RPL34, LST1, CTSS, TYROBP, RPL31",Antigen presenting cell (RPS high),professional antigen presenting cell,CL:0000145,antigen presenting cell
HCL,,"MATN1, MIA, C2orf82, EPYC, HAPLN1, LECT1, S100B, COL2A1, SEC61G, MATN3",Fetal chondrocyte,chondrocyte,CL:0000138,stromal cell
HCL,,"CPA2, CELA3A, SPINK1, SERPINA3, PRSS2, PRSS1, REG3G, PLA2G1B, REG1A, REG1B",Pancreas exocrine cell,pancreas exocrine glandular cell,CL:1001599,epithelial cell
