dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype
MCA,,"Mdk, Rbp1, Nrep, Cdk4, Tead2, Hmgn1, Selenoh, Marcksl1, Mif, H2afz",Proliferating Myocyte,,,muscle cell
MCA,,"Mylk, Acta2, Myl9, Mdk, Cdkn1c, Ptn, Dlk1, Itm2a, Meg3, Mfap2",Myocyte,,,muscle cell
MCA,,"Ms4a4b, Trac, Ltb, Cd52, Trbc2, Cd3d, Cd8b1, Shisa5, Lck, Thy1",T cell,T cell,CL:0000084,t/nk cell
MCA,,"Rtn1, Nnat, Tubb3, Tubb2b, Tuba1a, Stmn2, Stmn3, Igfbpl1, Tagln3, Gap43",Neuron,neuron,CL:0000540,neuron
MCA,,"S100a6, Timp1, Cxcl5, Gm15772, Spp1, Lgals1, Gm28438, S100a4, Gm15459, Tm4sf1",MSC (Cultured),mesenchymal stem cell,CL:0000134,stem cell
MCA,,"Rps13-ps1, Rps3a3, Dppa5a, Gm10036, Gm11942, Tdgf1, Gm15459, Stmn2, Chchd10, Tdh",mESC,embryonic stem cell,CL:0002322,stem cell
MCA,,"Prm1, Prm2, Meig1, Ldhc, Tnp1, Fabp9, Tnp2, Smcp, Rbakdn, Ropn1l",Testicular cell,,,testis cell
MCA,,"Rhox5, Bex1, Tex19.1, Gm15459, Bex3, Trap1a, Utf1, Gm11942, Gm15772, Cldn6",Trophoblast stem cell,,,stem cell
MCA,,"Sbp, Spink1, 9530002B09Rik, Defb50, 5430419D17Rik, Wfdc3, Nupr1, Azgp1, Agr2, Tspan1",Prostate gland cell,,,prostate cell
MCA,,"Matn1, Col2a1, Col9a2, Col9a3, Col9a1, Col11a1, Cnmd, 3110079O15Rik, Col11a2, Hapln1",Chondrocyte,chondrocyte,CL:0000138,stromal cell
MCA,,"Camp, Ngp, S100a9, S100a8, Chil3, Ltf, Wfdc21, Lcn2, Fcnb, Pglyrp1",Neutrophil,neutrophil,CL:0000775,granulocyte
MCA,,"Elane, Mpo, Ctsg, Prtn3, Ms4a3, Ly6c2, Plac8, Nkg7, Srgn, Cst7",Monocyte,monocyte,CL:0000576,macrophage/monocyte
MCA,,"Klf1, Blvrb, Hmbs, Glrx5, Alad, Rfesd, Car2, Hebp1, Asns, Smim1",Erythroblast,erythroblast,CL:0000765,erythroid cell
MCA,,"Tff1, Gkn1, Gkn2, Gsta1, Psca, Lgals2, Dpcr1, 2210407C18Rik, Tff2, Gsto1",Stomach epithelial cell,epithelial cell of stomach,CL:0002178,epithelial cell
MCA,,"Fabp4, Cldn5, Ramp2, Egfl7, Cav1, Cd36, Esam, Gpihbp1, Ly6c1, Tm4sf1",Endothelial cell,endothelial cell,CL:0000115,endothelial cell
MCA,,"Wap, Csn1s2b, Csn1s2a, Csn1s1, Csn2, Csn3, Glycam1, Lalba, Wfdc18, Lao1",Secretory alveoli cell,,,secretory cell
MCA,,"Plp1, Ptgds, Mbp, Cldn11, Aplp1, Ermn, Mobp, Apod, Mag, Stmn4",Oligodendrocyte,oligodendrocyte,CL:0000128,oligodendrocyte
MCA,,"Fabp7, Pantr1, Nnat, Ptn, Pax6, Rtn1, Dbi, Tuba1a, H2afv, Tubb2b",Proliferative neuron,,,neuron
MCA,,"Dlk1, H19, Postn, Col1a2, Itm2a, Aspn, Fstl1, Mfap5, Col3a1, Igf2",Stromal cell,stromal cell,CL:0000499,stromal cell
MCA,,"Cd79a, Ighm, Cd74, Cd79b, Iglc2, Iglc3, Ms4a1, Fcmr, Ighd, H2-Ab1",B cell,B cell,CL:0000236,b cell
MCA,,"Pf4, C1qc, C1qb, Apoe, Ctsc, C1qa, Fcer1g, F13a1, Csf1r, Tyrobp",Macrophage,macrophage,CL:0000235,macrophage/monocyte
MCA,,"Stra8, Dazl, Sycp3, Tex101, Tex12, Smc1b, Syce2, Fkbp6, Slc25a31, Tex30",Primordial germ cell,primordial germ cell,CL:0000670,germ cell
MCA,,"Reg3b, Reg3g, Fabp2, Fabp6, Lgals4, Lypd8, Apoa1, Tff3, Fabp1, Prap1",Intestinal epithelial cell,intestinal epithelial cell,CL:0002563,epithelial cell
MCA,,"H2-Eb1, H2-Ab1, H2-Aa, Cd74, Cst3, Plbd1, H2-DMa, H2-DMb1, Gm2a, Psap",Dendritic cell,dendritic cell,CL:0000451,dendritic cell
MCA,,"Car1, Car2, Fam132a, Blvrb, Klf1, Vamp5, Rhd, Aqp1, Gm15915, Atpif1",Erythroid progenitor,erythroid progenitor cell,CL:0000038,progenitor cell
MCA,,"Sftpc, Sftpa1, Sftpb, Sftpd, Cxcl15, Slc34a2, Cbr2, Chil1, Scd1, Lyz1",Alveolar type II cell,type II pneumocyte,CL:0002063,epithelial cell
