dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype
literature,Breast,"EBF1, G0S2, PLIN1, PLIN2, LPIN1, FOXO1, PPARG, ACSL1, ADIPOQ, GHR",Adipocyte,fat cell,CL:0000136,fat cell
literature,Breast,"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell
literature,Breast,"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1",T cell,T cell,CL:0000084,t/nk cell
literature,Breast,"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell
literature,Breast,"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11",Myoepithelial (Basal),myoepithelial cell,CL:0000185,epithelial cell
literature,Breast,"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC",Mast Cell,mast cell,CL:0000097,granulocyte
literature,Breast,"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4",Pericyte,pericyte,CL:0000669,pericyte
literature,Breast,"LYVE1, MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
literature,Breast,"HES2, TFCP2L1, KLF5, SOX10, ELF5, SOX9, AFF3, KRT8, EPCAM, KIT, KRT18, ESR1, PGR, KRT7, PRLR, KRT19, MUC1",Luminal Epithelial,,,epithelial cell
literature,Breast,"FN1, S100A4, FGF7, COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM",Fibroblast,fibroblast,CL:0000057,fibroblast
literature,Breast,"CR2, CD24, FAS, CXCR3, CD1c",B cell_memory,memory B cell,CL:0000787,b cell
